Train Model: LeNet, Using device cuda:0

========== Train Epoch 1 ==========
Loss: 1.912	Accuracy: 39 %
Accurary for class bzx   is: 62.4 %
Accurary for class cwx   is: 30.4 %
Accurary for class hdx   is: 10.2 %
Accurary for class mtx   is: 44.7 %
Accurary for class nqx   is: 35.4 %
Accurary for class nzx   is: 42.3 %
Accurary for class qtx   is: 38.4 %
Accurary for class sjx   is: 52.5 %
Accurary for class zxx   is: 45.8 %

========== Train Epoch 2 ==========
Loss: 2.388	Accuracy: 10 %
Accurary for class bzx   is: 20.4 %
Accurary for class cwx   is: 0.0 %
Accurary for class hdx   is: 0.0 %
Accurary for class mtx   is: 0.0 %
Accurary for class nqx   is: 0.0 %
Accurary for class nzx   is: 87.6 %
Accurary for class qtx   is: 0.0 %
Accurary for class sjx   is: 1.0 %
Accurary for class zxx   is: 0.0 %

========== Train Epoch 3 ==========
Loss: 2.193	Accuracy: 14 %
Accurary for class bzx   is: 81.7 %
Accurary for class cwx   is: 9.6 %
Accurary for class hdx   is: 0.0 %
Accurary for class mtx   is: 0.0 %
Accurary for class nqx   is: 0.0 %
Accurary for class nzx   is: 24.7 %
Accurary for class qtx   is: 0.0 %
Accurary for class sjx   is: 0.0 %
Accurary for class zxx   is: 22.9 %

========== Train Epoch 4 ==========
Loss: 2.125	Accuracy: 19 %
Accurary for class bzx   is: 0.0 %
Accurary for class cwx   is: 0.0 %
Accurary for class hdx   is: 5.1 %
Accurary for class mtx   is: 81.6 %
Accurary for class nqx   is: 0.0 %
Accurary for class nzx   is: 30.9 %
Accurary for class qtx   is: 23.2 %
Accurary for class sjx   is: 0.0 %
Accurary for class zxx   is: 36.4 %

========== Train Epoch 5 ==========
Loss: 2.010	Accuracy: 26 %
Accurary for class bzx   is: 40.9 %
Accurary for class cwx   is: 28.7 %
Accurary for class hdx   is: 5.1 %
Accurary for class mtx   is: 3.9 %
Accurary for class nqx   is: 9.4 %
Accurary for class nzx   is: 34.0 %
Accurary for class qtx   is: 34.3 %
Accurary for class sjx   is: 58.6 %
Accurary for class zxx   is: 33.9 %

========== Train Epoch 6 ==========
Loss: 1.952	Accuracy: 29 %
Accurary for class bzx   is: 50.5 %
Accurary for class cwx   is: 19.1 %
Accurary for class hdx   is: 17.8 %
Accurary for class mtx   is: 4.9 %
Accurary for class nqx   is: 8.7 %
Accurary for class nzx   is: 41.2 %
Accurary for class qtx   is: 34.3 %
Accurary for class sjx   is: 53.5 %
Accurary for class zxx   is: 42.4 %

========== Train Epoch 7 ==========
Loss: 1.789	Accuracy: 34 %
Accurary for class bzx   is: 49.5 %
Accurary for class cwx   is: 35.7 %
Accurary for class hdx   is: 27.1 %
Accurary for class mtx   is: 9.7 %
Accurary for class nqx   is: 26.0 %
Accurary for class nzx   is: 60.8 %
Accurary for class qtx   is: 25.3 %
Accurary for class sjx   is: 39.4 %
Accurary for class zxx   is: 43.2 %

========== Train Epoch 8 ==========
Loss: 1.661	Accuracy: 37 %
Accurary for class bzx   is: 37.6 %
Accurary for class cwx   is: 4.3 %
Accurary for class hdx   is: 44.9 %
Accurary for class mtx   is: 47.6 %
Accurary for class nqx   is: 18.1 %
Accurary for class nzx   is: 64.9 %
Accurary for class qtx   is: 35.4 %
Accurary for class sjx   is: 58.6 %
Accurary for class zxx   is: 35.6 %

========== Train Epoch 9 ==========
Loss: 1.491	Accuracy: 42 %
Accurary for class bzx   is: 35.5 %
Accurary for class cwx   is: 7.8 %
Accurary for class hdx   is: 66.9 %
Accurary for class mtx   is: 37.9 %
Accurary for class nqx   is: 27.6 %
Accurary for class nzx   is: 58.8 %
Accurary for class qtx   is: 37.4 %
Accurary for class sjx   is: 47.5 %
Accurary for class zxx   is: 66.9 %

========== Train Epoch 10 ==========
Loss: 1.391	Accuracy: 46 %
Accurary for class bzx   is: 52.7 %
Accurary for class cwx   is: 35.7 %
Accurary for class hdx   is: 44.1 %
Accurary for class mtx   is: 23.3 %
Accurary for class nqx   is: 26.8 %
Accurary for class nzx   is: 68.0 %
