Train Model: LeNet, Using device cuda:0

========== Train Epoch 1 ==========
Loss: 1.753	Accuracy: 53 %
Accurary for class bzx   is: 57.7 %
Accurary for class cwx   is: 45.2 %
Accurary for class hdx   is: 42.4 %
Accurary for class mtx   is: 49.1 %
Accurary for class nqx   is: 45.1 %
Accurary for class nzx   is: 76.4 %
Accurary for class qtx   is: 52.2 %
Accurary for class sjx   is: 53.7 %
Accurary for class zxx   is: 55.9 %

========== Train Epoch 2 ==========
Loss: 1.952	Accuracy: 43 %
Accurary for class bzx   is: 63.2 %
Accurary for class cwx   is: 56.1 %
Accurary for class hdx   is: 7.1 %
Accurary for class mtx   is: 13.2 %
Accurary for class nqx   is: 17.6 %
Accurary for class nzx   is: 77.1 %
Accurary for class qtx   is: 57.9 %
Accurary for class sjx   is: 53.1 %
Accurary for class zxx   is: 49.2 %

========== Train Epoch 3 ==========
Loss: 1.366	Accuracy: 47 %
Accurary for class bzx   is: 35.0 %
Accurary for class cwx   is: 3.2 %
Accurary for class hdx   is: 77.6 %
Accurary for class mtx   is: 61.0 %
Accurary for class nqx   is: 28.1 %
Accurary for class nzx   is: 51.6 %
Accurary for class qtx   is: 42.1 %
Accurary for class sjx   is: 59.2 %
Accurary for class zxx   is: 65.6 %

========== Train Epoch 4 ==========
Loss: 1.081	Accuracy: 56 %
Accurary for class bzx   is: 54.0 %
Accurary for class cwx   is: 22.6 %
Accurary for class hdx   is: 30.6 %
Accurary for class mtx   is: 78.6 %
Accurary for class nqx   is: 71.9 %
Accurary for class nzx   is: 70.7 %
Accurary for class qtx   is: 53.5 %
Accurary for class sjx   is: 70.1 %
Accurary for class zxx   is: 57.4 %

========== Train Epoch 5 ==========
Loss: 0.897	Accuracy: 61 %
Accurary for class bzx   is: 53.4 %
Accurary for class cwx   is: 34.8 %
Accurary for class hdx   is: 70.0 %
Accurary for class mtx   is: 49.7 %
Accurary for class nqx   is: 50.3 %
Accurary for class nzx   is: 77.1 %
Accurary for class qtx   is: 68.6 %
Accurary for class sjx   is: 78.2 %
Accurary for class zxx   is: 67.7 %

========== Train Epoch 6 ==========
Loss: 0.684	Accuracy: 67 %
Accurary for class bzx   is: 84.7 %
Accurary for class cwx   is: 25.8 %
Accurary for class hdx   is: 62.4 %
Accurary for class mtx   is: 69.8 %
Accurary for class nqx   is: 57.5 %
Accurary for class nzx   is: 76.4 %
